"Country","Years","Region"
"Monaco",89.8,1
"Singapore",86.7,2
"Macau",85.3,3
"Japan",85.2,4
"Canada",84.2,5
"San Marino",84.2,6
"Hong Kong",84,7
"Iceland",84,8
"Switzerland",83.9,9
"Andorra",83.8,10
"Guernsey",83.6,11
"Malta",83.6,12
"Australia",83.5,13
"Luxembourg",83.4,14
"Korea, South",83.4,15
"Israel",83.1,16
"Jersey",83,17
"Spain",83,18
"Italy",83,19
"Liechtenstein",83,20
"Sweden",82.9,21
"Norway",82.9,22
"New Zealand",82.9,23
"Austria",82.7,24
"France",82.6,25
"Anguilla",82.6,26
"Cayman Islands",82.5,27
"Isle of Man",82.5,28
"Bermuda",82.5,29
"Belgium",82.3,30
"Finland",82.2,31
"Slovenia",82.2,32
"United Kingdom",82.2,33
"Puerto Rico",82.1,34
"Denmark",82.1,35
"Ireland",82,36
"Portugal",81.9,37
"Germany",81.9,38
"Netherlands",81.9,39
"Greece",81.9,40
"Saint Pierre and Miquelon",81.8,41
"Faroe Islands",81.7,42
"Taiwan",81.6,43
"Turks and Caicos Islands",81.3,44
"Wallis and Futuna",81.1,45
"Saint Martin",81,46
"Saint Barthelemy",81,47
"Gibraltar",80.9,48
"United States",80.9,49
"Saint Helena, Ascension, and Tristan da Cunha",80.9,50
"Virgin Islands",80.7,51
"Bahrain",80.4,52
"Qatar",80.3,53
"Costa Rica",80.3,54
"Chile",80.3,55
"Cyprus",80.2,56
"British Virgin Islands",80.1,57
"Cuba",80.1,58
"Curacao",79.9,59
"United Arab Emirates",79.9,60
"Albania",79.9,61
"Sint Maarten",79.7,62
"Kuwait",79.6,63
"Saint Lucia",79.4,64
"New Caledonia",79.3,65
"Panama",79.2,66
"Lebanon",79.2,67
"Barbados",79,68
"French Polynesia",78.9,69
"Uruguay",78.9,70
"Brunei",78.9,71
"Argentina",78.8,72
"Paraguay",78.8,73
"Dominica",78.7,74
"China",78.7,75
"Czechia",78.6,76
"Bosnia and Herzegovina",78.5,77
"Aruba",78.5,78
"Estonia",78.4,79
"Antigua and Barbuda",78.3,80
"Thailand",78.2,81
"Montenegro",78.2,82
"Guam",78,83
"Tonga",78,84
"Algeria",77.9,85
"Croatia",77.7,86
